client_id,age,gender,region,income_level,segment,device_type,tech_usage
1,56,Male,Tunis,High,Professional,iOS,4G
2,69,Female,Gabes,Medium,Retired,iOS,4G
3,46,Female,Kairouan,Medium,Student,iOS,4G
4,32,Female,Monastir,Low,Unemployed,iOS,3G
5,60,Male,Gabes,Medium,Professional,Android,4G
6,25,Female,Bizerte,Medium,Student,iOS,4G
7,38,Female,Sousse,Medium,Student,iOS,4G
8,56,Female,Bizerte,Medium,Retired,Android,4G
9,36,Male,Sfax,Low,Unemployed,Feature Phone,4G
10,40,Male,Nabeul,High,Professional,Feature Phone,3G
11,28,Female,Monastir,High,Student,Android,5G
12,28,Female,Sfax,Low,Professional,iOS,4G
13,41,Female,Gabes,High,Unemployed,Android,4G
14,53,Male,Gabes,Low,Retired,Android,4G
15,57,Male,Bizerte,Medium,Retired,Android,4G
16,41,Male,Bizerte,Low,Retired,Android,4G
17,20,Female,Kairouan,High,Professional,Android,5G
18,39,Male,Tunis,Low,Professional,Android,4G
19,19,Female,Kairouan,Medium,Student,iOS,5G
20,41,Female,Sfax,Medium,Unemployed,Android,3G
21,61,Male,Kairouan,Low,Unemployed,Android,4G
22,47,Female,Bizerte,Medium,Unemployed,Android,3G
23,55,Male,Monastir,Low,Professional,Android,3G
24,19,Female,Kairouan,Medium,Retired,Android,4G
25,38,Female,Sousse,High,Unemployed,Android,3G
26,50,Male,Nabeul,High,Student,Android,5G
27,29,Female,Tunis,High,Professional,Android,4G
28,39,Female,Bizerte,Low,Retired,Android,3G
29,61,Female,Monastir,Low,Unemployed,Feature Phone,4G
30,42,Female,Gabes,Medium,Retired,Android,4G
31,66,Female,Nabeul,Low,Student,iOS,4G
32,44,Female,Kairouan,High,Unemployed,Android,5G
33,59,Female,Bizerte,Low,Unemployed,Android,4G
34,45,Female,Gabes,High,Retired,Android,4G
35,33,Male,Gabes,Low,Professional,Feature Phone,4G
36,32,Male,Sfax,High,Retired,Android,4G
37,64,Female,Sfax,Low,Student,iOS,4G
38,68,Female,Monastir,Low,Retired,iOS,4G
39,61,Male,Bizerte,Medium,Retired,Android,3G
40,69,Female,Nabeul,Low,Unemployed,Feature Phone,4G
41,20,Male,Monastir,Medium,Professional,Android,4G
42,54,Male,Bizerte,Medium,Professional,Android,4G
43,68,Male,Sousse,Low,Professional,Android,4G
44,24,Female,Tunis,High,Professional,Android,4G
45,38,Female,Tunis,Medium,Retired,Android,3G
46,26,Female,Nabeul,Medium,Unemployed,iOS,4G
47,56,Male,Bizerte,Medium,Unemployed,Android,5G
48,35,Male,Sfax,Medium,Professional,iOS,4G
49,21,Male,Nabeul,Low,Retired,Android,5G
50,42,Female,Kairouan,Low,Professional,Feature Phone,5G
51,31,Male,Monastir,Medium,Professional,Android,4G
52,67,Male,Sousse,Medium,Unemployed,iOS,4G
53,26,Female,Tunis,Low,Unemployed,iOS,4G
54,43,Male,Bizerte,Medium,Professional,Android,4G
55,19,Male,Sfax,Medium,Retired,Android,5G
56,37,Female,Sfax,Low,Professional,Android,4G
57,45,Female,Sfax,Low,Unemployed,Android,3G
58,64,Male,Monastir,Medium,Unemployed,Android,5G
59,24,Female,Kairouan,Low,Retired,iOS,4G
60,61,Male,Gabes,Low,Professional,Android,4G
61,25,Female,Nabeul,Low,Professional,Android,4G
62,64,Male,Monastir,High,Student,Android,5G
63,52,Female,Kairouan,Medium,Professional,iOS,5G
64,31,Male,Sfax,Low,Retired,Android,5G
65,34,Female,Bizerte,Low,Unemployed,Android,4G
66,53,Female,Nabeul,Medium,Student,Android,4G
67,67,Female,Sousse,Medium,Retired,Android,4G
68,57,Female,Kairouan,Medium,Retired,iOS,5G
69,21,Female,Bizerte,High,Student,iOS,4G
70,19,Female,Monastir,Medium,Professional,iOS,4G
71,23,Female,Monastir,Low,Student,Android,4G
72,59,Male,Nabeul,Medium,Retired,Feature Phone,4G
