client_id,plan_id,recommendation_rank
7585,9,1
7585,8,2
7585,24,3
3109,7,1
3109,24,2
3109,8,3
944,27,1
944,22,2
944,20,3
2722,8,1
2722,25,2
2722,10,3
5008,8,1
5008,9,2
5008,24,3
3246,9,1
3246,8,2
3246,25,3
4222,23,1
4222,16,2
4222,7,3
2,16,1
2,23,2
2,18,3
1443,1,1
1443,6,2
1443,30,3
3134,27,1
3134,22,2
3134,20,3
9660,7,1
9660,23,2
9660,4,3
2639,6,1
2639,1,2
2639,19,3
9930,16,1
9930,23,2
9930,18,3
8269,9,1
8269,8,2
8269,11,3
462,29,1
462,17,2
462,2,3
9330,7,1
9330,23,2
9330,4,3
3514,23,1
3514,16,2
3514,4,3
2953,6,1
2953,1,2
2953,2,3
629,16,1
629,23,2
629,26,3
4715,16,1
4715,26,2
4715,23,3
3589,1,1
3589,6,2
3589,17,3
3268,27,1
3268,22,2
3268,20,3
2412,1,1
2412,6,2
2412,30,3
5418,8,1
5418,25,2
5418,10,3
5679,8,1
5679,9,2
5679,25,3
5946,6,1
5946,2,2
5946,17,3
8400,27,1
8400,22,2
8400,20,3
1286,1,1
1286,6,2
1286,21,3
3952,27,1
3952,22,2
3952,20,3
5773,26,1
5773,16,2
5773,18,3
1539,26,1
1539,16,2
1539,23,3
2876,1,1
2876,6,2
2876,30,3
2250,6,1
2250,1,2
2250,30,3
4719,1,1
4719,6,2
4719,30,3
7502,6,1
7502,1,2
7502,30,3
1902,16,1
1902,26,2
1902,23,3
1574,1,1
1574,6,2
1574,2,3
4289,8,1
4289,9,2
4289,25,3
8717,9,1
8717,24,2
8717,8,3
9362,1,1
9362,6,2
9362,30,3
5953,8,1
5953,25,2
5953,10,3
8461,16,1
8461,23,2
8461,7,3
7290,1,1
7290,6,2
7290,30,3
6434,10,1
6434,8,2
6434,25,3
9115,9,1
9115,24,2
9115,11,3
2261,8,1
2261,24,2
2261,10,3
6249,6,1
6249,19,2
6249,1,3
6877,7,1
6877,23,2
6877,4,3
4790,6,1
4790,1,2
4790,30,3
4098,9,1
4098,24,2
4098,11,3
351,9,1
351,8,2
351,11,3
1787,26,1
1787,16,2
1787,18,3
8409,1,1
8409,6,2
8409,2,3
1377,6,1
1377,1,2
1377,30,3
4817,16,1
4817,23,2
4817,26,3
5665,23,1
5665,16,2
5665,26,3
2784,1,1
2784,6,2
2784,2,3
5926,6,1
5926,1,2
5926,30,3
1702,9,1
1702,24,2
1702,8,3
7387,6,1
7387,1,2
7387,19,3
336,16,1
336,23,2
336,7,3
8439,9,1
8439,8,2
8439,24,3
797,10,1
797,25,2
797,8,3
1757,16,1
1757,26,2
1757,23,3
2284,9,1
2284,8,2
2284,11,3
1505,23,1
1505,16,2
1505,7,3
6325,27,1
6325,22,2
6325,20,3
7802,26,1
7802,16,2
7802,23,3
8118,23,1
8118,16,2
8118,26,3
4494,9,1
4494,24,2
4494,8,3
5843,9,1
5843,24,2
5843,8,3
9674,6,1
9674,1,2
9674,19,3
2916,6,1
2916,2,2
2916,17,3
5721,9,1
5721,11,2
5721,24,3
8701,7,1
8701,23,2
8701,4,3
6119,7,1
6119,23,2
6119,16,3
7066,1,1
7066,6,2
7066,2,3
7548,1,1
7548,6,2
7548,30,3
4633,6,1
4633,1,2
4633,30,3
6338,9,1
6338,24,2
6338,8,3
5750,6,1
5750,1,2
5750,2,3
6563,8,1
6563,25,2
6563,10,3
8942,9,1
8942,24,2
8942,8,3
3447,27,1
3447,22,2
3447,20,3
1958,7,1
1958,23,2
1958,16,3
8152,6,1
8152,1,2
8152,30,3
6756,9,1
6756,11,2
6756,24,3
4144,23,1
4144,16,2
4144,18,3
7880,9,1
7880,8,2
7880,25,3
6648,9,1
6648,8,2
6648,11,3
2676,6,1
2676,19,2
2676,1,3
952,6,1
952,1,2
952,30,3
1493,26,1
1493,18,2
1493,16,3
6251,23,1
6251,16,2
6251,7,3
7842,8,1
7842,25,2
7842,10,3
6097,1,1
6097,6,2
6097,30,3
6139,23,1
6139,7,2
6139,4,3
4005,23,1
4005,7,2
4005,16,3
8145,1,1
8145,6,2
8145,30,3
9617,8,1
9617,9,2
9617,24,3
8599,6,1
8599,1,2
8599,30,3
5026,6,1
5026,1,2
5026,2,3
1824,9,1
1824,24,2
1824,8,3
1308,9,1
1308,8,2
1308,25,3
5065,9,1
5065,11,2
5065,8,3
5188,26,1
5188,16,2
5188,18,3
956,9,1
956,8,2
956,25,3
3376,2,1
3376,1,2
3376,6,3
8683,6,1
8683,1,2
8683,30,3
4935,1,1
4935,6,2
4935,17,3
5996,26,1
5996,16,2
5996,23,3
3942,23,1
3942,16,2
3942,18,3
6376,6,1
6376,1,2
6376,2,3
4061,1,1
4061,6,2
4061,30,3
3082,6,1
3082,1,2
3082,30,3
4250,23,1
4250,16,2
4250,26,3
7431,23,1
7431,16,2
7431,18,3
3011,16,1
3011,26,2
3011,23,3
8479,9,1
8479,24,2
8479,8,3
7997,6,1
7997,1,2
7997,2,3
7139,9,1
7139,8,2
7139,24,3
2548,1,1
2548,6,2
2548,30,3
5090,27,1
5090,20,2
5090,22,3
7927,9,1
7927,8,2
7927,25,3
2630,16,1
2630,26,2
2630,18,3
257,27,1
257,22,2
257,20,3
3466,9,1
3466,11,2
3466,24,3
9699,6,1
9699,1,2
9699,30,3
7734,7,1
7734,23,2
7734,4,3
7262,26,1
7262,16,2
7262,23,3
9152,16,1
9152,23,2
9152,26,3
1018,1,1
1018,6,2
1018,19,3
8781,6,1
8781,1,2
8781,2,3
4118,8,1
4118,9,2
4118,25,3
4561,1,1
4561,2,2
4561,17,3
1995,23,1
1995,7,2
1995,16,3
7393,8,1
7393,9,2
7393,25,3
3499,1,1
3499,6,2
3499,17,3
2012,24,1
2012,8,2
2012,9,3
7563,6,1
7563,1,2
7563,17,3
2866,1,1
2866,6,2
2866,2,3
933,16,1
933,23,2
933,18,3
173,8,1
173,9,2
173,25,3
4837,27,1
4837,22,2
4837,20,3
606,16,1
606,26,2
606,23,3
1674,27,1
1674,22,2
1674,20,3
661,26,1
661,23,2
661,16,3
3388,9,1
3388,11,2
3388,8,3
6770,23,1
6770,16,2
6770,26,3
5219,26,1
5219,16,2
5219,23,3
9236,27,1
9236,22,2
9236,20,3
2192,6,1
2192,1,2
2192,2,3
1603,16,1
1603,23,2
1603,26,3
7166,8,1
7166,9,2
7166,24,3
2885,8,1
2885,9,2
2885,25,3
4345,9,1
4345,11,2
4345,8,3
5924,27,1
5924,22,2
5924,20,3
2363,8,1
2363,25,2
2363,10,3
4572,23,1
4572,16,2
4572,7,3
6900,9,1
6900,24,2
6900,8,3
9546,1,1
9546,6,2
9546,17,3
2655,1,1
2655,6,2
2655,17,3
3166,17,1
3166,1,2
3166,6,3
4868,27,1
4868,22,2
4868,20,3
3295,16,1
3295,23,2
3295,7,3
2518,26,1
2518,16,2
2518,18,3
6452,16,1
6452,26,2
6452,18,3
3858,1,1
3858,17,2
3858,6,3
7446,23,1
7446,16,2
7446,18,3
4579,6,1
4579,1,2
4579,19,3
4481,9,1
4481,11,2
4481,8,3
2750,1,1
2750,6,2
2750,17,3
5085,9,1
5085,8,2
5085,25,3
8476,6,1
8476,1,2
8476,19,3
7826,9,1
7826,8,2
7826,25,3
9261,1,1
9261,6,2
9261,2,3
9231,1,1
9231,6,2
9231,2,3
3435,1,1
3435,6,2
3435,30,3
2325,9,1
2325,11,2
2325,24,3
6279,26,1
6279,23,2
6279,18,3
8675,27,1
8675,22,2
8675,20,3
3441,8,1
3441,25,2
3441,10,3
1484,9,1
1484,8,2
1484,24,3
9370,1,1
9370,6,2
9370,30,3
5457,24,1
5457,9,2
5457,8,3
1952,10,1
1952,8,2
1952,24,3
9347,1,1
9347,6,2
9347,19,3
6551,16,1
6551,23,2
6551,18,3
1803,10,1
1803,8,2
1803,25,3
2669,1,1
2669,2,2
2669,17,3
9737,6,1
9737,1,2
9737,2,3
2875,6,1
2875,1,2
2875,2,3
2775,8,1
2775,9,2
2775,25,3
3940,9,1
3940,8,2
3940,24,3
5119,9,1
5119,11,2
5119,8,3
4225,6,1
4225,1,2
4225,30,3
3765,8,1
3765,9,2
3765,25,3
8606,1,1
8606,6,2
8606,2,3
3588,10,1
3588,25,2
3588,8,3
2276,1,1
2276,6,2
2276,30,3
8926,6,1
8926,1,2
8926,30,3
4833,27,1
4833,22,2
4833,20,3
6879,7,1
6879,23,2
6879,4,3
516,6,1
516,1,2
516,30,3
4477,23,1
4477,26,2
4477,16,3
6554,1,1
6554,6,2
6554,30,3
9596,24,1
9596,9,2
9596,8,3
964,23,1
964,16,2
964,18,3
8790,16,1
8790,7,2
8790,23,3
102,7,1
102,16,2
102,23,3
5572,9,1
5572,11,2
5572,8,3
9237,7,1
9237,23,2
9237,16,3
2570,6,1
